amfi_code,max_drawdown,worst_date,scheme_name,fund_house
100016,-24.7344,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100025,-4.3083,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100033,-16.2172,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
101206,-11.2916,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,-35.4469,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,-0.1622,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
102885,-10.8599,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102886,-28.0011,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102887,-21.5398,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118632,-17.4141,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118633,-18.6297,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118634,-23.3449,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118635,-11.6506,2022-06-09,Nippon India ETF Nifty 50 BeES,Nippon India MF
118636,-8.3164,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
119092,-14.4016,2025-02-07,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119093,-21.7514,2023-05-22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119094,-20.9609,2022-08-11,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119095,-51.6778,2026-05-11,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119120,-4.3287,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119551,-15.0124,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119552,-11.8035,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,-28.706,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119599,-52.5742,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120503,-13.8979,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120504,-12.5883,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120505,-18.1885,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,-19.8257,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120507,-0.0977,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120841,-17.5736,2025-02-14,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120842,-24.0035,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120843,-12.974,2022-04-13,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120844,-0.1163,2024-04-30,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
125497,-15.2,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
125498,-21.1173,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
148567,-11.2657,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
148568,-15.2726,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
148569,-16.3967,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
149322,-14.8446,2022-02-04,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
149323,-17.2481,2022-10-24,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
149324,-31.1719,2025-01-03,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
